review,polarity,avg_word
"'membantu','kondisi','pandemi','tolong','evaluasi','ketersedian','obat','apotek','rekanan','kota','manado','resep','obat','batuk','apotek','suka','habis','sia','sia','konsultasi','dokter','ujung','ujungnya','obat','resep','apotek','rugi','chat','mahal','biaya','masukan','baik','pakai','fitur','chat','us','pelayanan','pelayanan','mengubah','produk','obat','menyarankan','konsultasi','dokterjelek'",negatif,8.045454545454545
"'konsultasi','dokter','bagus','durasinya','cepat','dokternya','dokternya','chatinganya','bantu','terimakasih'",negatif,10.0
"'astaga','obatnya','beli','obat','harganya','masuk','akal','lipat','ulang','chat','bantuan','coba','pembayaran','resep','bank','berbeda','obatnya','gagal','solusi','penyelesain','berulang','gagal','harga','obat','masuk','akal','semoga','baik','banding','pesaing'",negatif,7.766666666666667
"'terima,kasih','pelayananya','baik','cepat','pengirimanya','bantu','nambahkan','pelayanan','pengiriman','obatnya','baik','thanks'",positif,9.0
"'menelepon','nomor','hadiah','konfirmasi','aplikasi','mengadakan','hadiah','email','nomor','telepon,genggam'",positif,8.909090909090908
"'sumpah','alternatif','miris','uang','sakit','dirasa','hemat','pakai','aplikasi','bagus','pekerjaan','cocok','anak','kosan'",positif,7.857142857142857
"'konfirmasi','pelayanan','berguna','selesai','komunikasi','ulang','di,mana','kasih','bukti','screnshotnya','ampun','ampun','munculin','aplikasi'",negatif,8.666666666666666
"'membantu','darurat','rumah','anak','tetiba','anak','sakit','obat','habis','pesan','harga','obat','enaknya','cari','murah','terima,kasih'",positif,7.117647058823529
"'suka','suka','aplikasi','berbeda','aplikasi','sebelah','penjelasan','rekomendasi','obat','dokter','kesel','konsultasi','dokter','melewatkanya','ganti','dokter','saldo','berkurang','dikembalikan','mohon','perhatikan','dokter','sibuk','aktifitasnya','menyalakan','konsultasi','pengguna','keadan','darurat'",negatif,9.517241379310345
"'membantu','konsultasi','whatsapp','pandemi','chat','respon','plus','perihal','membantu','terima','kasih'",positif,8.636363636363637
"'telepon','mengatas','nama','aneh','penelpon','email','bilang','uang','juta','rupiah','aplikasi','memprivasi','email','mengambil','keuntungan','menipu','tolong','privasi','perketat'",negatif,8.578947368421053
"'keren','cepat','bagus','membantu','rumah','cek','kesehatan','aman','dimasa','pandemi','covid'",positif,7.636363636363637
"'membantu','jam','anak','sakit','konsultasi','dokter','terima','kasih','adi','suryadinata','membantu'",positif,8.272727272727273
"'membantu','mempermudah','mencari','obat','obatan','respon','cepat','pesan','terima,kasih'",positif,8.1
"'pulang','hapus','aplikasi','kecewa','profesional','di,bagian','chat','customer','terima','kasih'",negatif,7.909090909090909
"'konsultasi','pembayaran','pakai','gagal','keteranganya','dana','dikembalikan','konsultasi','coba','malas','tolong','sistem','pembayaran','diperbaiki'",negatif,9.785714285714286
"'membantu','pergi','rumah','sakit','antrian','dekat,sekali','aplikasi','membantu','praktis','takut','langsung','konsultasi','dokternya','dikasi','resep','makasi'",positif,8.529411764705882
"'ralat','kembalikan','bayar','aplikasi','membantu'",negatif,9.2
"'jujur','puas','nasihat','nasihat','penjelasan','dokternya','disayangkan','konsultasi','aplikasi','menit','otomatis','berhenti'",negatif,9.666666666666666
"'membantu','obat','dicari','dibeberapa','apotek','kosong','aplikasi','lengkap','pemakaian','aplikasi','mudah','thanks'",positif,8.916666666666666
"'aplikasi','membantu','kesehatan','produk','kesehatan','aplikasi','konsultasi','penyakit','beli','obat','obatan','produk','kesehatan','lainya','aplikasi','memilih','langsung','konek','akun','gojek','terima,kasih','pelayanan','sukses','bagus'",positif,8.68
"'tolong','evaluasi','respon','email','chat','transaksi','beli','gopay','kurir','mengantar','kecewa','pengembalian,dana'",negatif,8.23076923076923
"'aplikasinya','bagus','Cuma','saran','adakan','opsi','pembayaran','gerai','kaya','alfamart','indomart','membantu','remaja','orang','orang','gapunya','gopay','debit'",positif,8.166666666666666
"'bagus','aplikasi','ketemu','kurangnya','di,mana','bagus','respon','dokternya','cepat','bagus','pertahankan','membantu','bagus'",positif,8.142857142857142
"'aplikasi','nomor','sulit','membantu','keliling','apotek','obat','obat','jarang','tersedia','diapotik','konsultasi','dokter','mudah','pelayananya','ramah'",positif,8.6875
"'membantu','aplikas','khawatir','mendadak','malam','butuh','obat','membantu'",positif,8.625
"'sangan','membantu','isoman','membeli','obat','mencegah','penularan','virus','orang','bantu'",positif,8.3
"'daftar','masukan','email','nomor','telepon','masuk','nunggu'",negatif,7.857142857142857
"'membantu','orang','malas','rumah','nunggu','antre','dokter','bagus','pelayanan','cepat','resep','akurat'",positif,7.833333333333333
"'coba','membantu','pandemi','covid','rumah','diagnosis','beli','obat'",positif,7.75
"'memudahkan','antre','rumah','sakit','konsultasi','aplikasi','obat','diantar','rumah','membantu'",positif,8.7
"'bagus','membantu','pandemi','bantu','dokter','spesialisnya','juara','juara','semoga','pertahankan','bagus','bantu'",positif,8.666666666666666
"'admin','suntik','vaksin','dosis','tanggal','tanggal','teman','sms','suntik','vaksin','dosis','admin','mohon','pencerahanya'",positif,7.928571428571429
"'konsultasi','antisipasi','rumah','membantu','terima','kasih','menyediakan','aplikasi'",positif,9.875
"'terbantu','aplikasi','kemarin','cari','resep','dokter','putar','putar','apotek','terdekat','ketemu','aplikasi','terbantu','capek','capek','putar','putar'",positif,8.117647058823529
"'umur','uang','konsultasi','dokter','konsultasi','bayar','solosi','it','tolong'",positif,7.888888888888889
"'aplikasinya','bagus','chat','psikiatris','mudah','daring','dokternya','ramah','menghakimi','mengerti','keadan','terima','kasih'",positif,8.923076923076923
"'terima,kasih','bermanfaat','aplikasi','konsultasi','dokter','mudah'",positif,8.857142857142858
"'bagus','vaksin','kendala','efek','samping','timbul','ngantuk','divaksin'",positif,8.25
"'kecepatan','pengiriman','kilat','harga','obat','obatan','berbeda','apotek','langsung','bangga'",positif,8.6
"'aplikasinya','jelek','pesan','apotek','obatny','suruh','dibatalkan','cancelnya','bermasalah','telepon','pelayanan','batalin','jam','batalinya','batal','saldo','kerja'",negatif,8.882352941176471
"'bagus','konsultasi','dokter','rumah','sakit','khawatir','kena','covid','murah','harganya','konsultasi'",positif,8.454545454545455
"'pelayanan','cepat','aneh','pembayaran','memakai','kartu','kredit','kartu','tersedia','available'",negatif,8.8
