review,polarity,avg_word
bantu kondisi pandemi tolong evaluasi dian obat apotek rekan kota manado resep obat batuk apotek suka habis sia sia konsultasi dokter ujung ujung obat resep apotek rugi chat mahal biaya masuk baik pakai fitur chat us layan layan ubah produk obat saran konsultasi dokterjelek,negatif,8.045454545454545
konsultasi dokter bagus durasi cepat dokter dokter chatinganya bantu terimakasih,negatif,10.0
astaga obat beli obat harga masuk akal lipat ulang chat bantu coba bayar resep bank beda obat gagal solusi penyelesain ulang gagal harga obat masuk akal moga baik banding saing,negatif,7.7666666666666675
terima kasih pelayananya baik cepat pengirimanya bantu nambahkan layan kirim obat baik thanks,positif,9.0
telepon nomor hadiah konfirmasi aplikasi ada hadiah email nomor telepon genggam,positif,8.909090909090908
sumpah alternatif miris uang sakit rasa hemat pakai aplikasi bagus kerja cocok anak kosan,positif,7.857142857142858
konfirmasi layan guna selesai komunikasi ulang di mana kasih bukti screnshotnya ampun ampun munculin aplikasi,negatif,8.666666666666666
bantu darurat rumah anak tetiba anak sakit obat habis pesan harga obat enak cari murah terima kasih,positif,7.117647058823528
suka suka aplikasi beda aplikasi belah jelas rekomendasi obat dokter kesel konsultasi dokter melewatkanya ganti dokter saldo kurang kembali mohon perhati dokter sibuk aktifitasnya nyala konsultasi guna adan darurat,negatif,9.517241379310343
bantu konsultasi whatsapp pandemi chat respon plus perihal bantu terima kasih,positif,8.636363636363637
telepon atas nama aneh telpon email bilang uang juta rupiah aplikasi privasi email ambil untung tipu tolong privasi ketat,negatif,8.578947368421053
keren cepat bagus bantu rumah cek sehat aman masa pandemi covid,positif,7.636363636363638
bantu jam anak sakit konsultasi dokter terima kasih adi suryadinata bantu,positif,8.272727272727273
bantu mudah cari obat obat respon cepat pesan terima kasih,positif,8.1
pulang hapus aplikasi kecewa profesional di bagi chat customer terima kasih,negatif,7.909090909090909
konsultasi bayar pakai gagal keteranganya dana kembali konsultasi coba malas tolong sistem bayar baik,negatif,9.785714285714286
bantu pergi rumah sakit antri dekat sekali aplikasi bantu praktis takut langsung konsultasi dokter kasi resep makas,positif,8.529411764705884
ralat kembali bayar aplikasi bantu,negatif,9.2
jujur puas nasihat nasihat jelas dokter sayang konsultasi aplikasi menit otomatis henti,negatif,9.666666666666666
bantu obat cari beberapa apotek kosong aplikasi lengkap pakai aplikasi mudah thanks,positif,8.916666666666666
aplikasi bantu sehat produk sehat aplikasi konsultasi sakit beli obat obat produk sehat lai aplikasi pilih langsung konek akun gojek terima kasih layan sukses bagus,positif,8.68
tolong evaluasi respon email chat transaksi beli gopay kurir antar kecewa kembali dana,negatif,8.23076923076923
aplikasi bagus cuma saran adakan opsi bayar gerai kaya alfamart indomart bantu remaja orang orang gapunya gopay debit,positif,8.166666666666666
bagus aplikasi ketemu kurang di mana bagus respon dokter cepat bagus tahan bantu bagus,positif,8.142857142857142
aplikasi nomor sulit bantu keliling apotek obat obat jarang sedia apotik konsultasi dokter mudah pelayananya ramah,positif,8.6875
bantu aplikas khawatir dadak malam butuh obat bantu,positif,8.625
sangan bantu isoman beli obat cegah tular virus orang bantu,positif,8.3
daftar masuk email nomor telepon masuk nunggu,negatif,7.857142857142858
bantu orang malas rumah nunggu antre dokter bagus layan cepat resep akurat,positif,7.833333333333332
coba bantu pandemi covid rumah diagnosis beli obat,positif,7.75
mudah antre rumah sakit konsultasi aplikasi obat antar rumah bantu,positif,8.7
bagus bantu pandemi bantu dokter spesialis juara juara moga tahan bagus bantu,positif,8.666666666666666
