review,polarity
Sangat Membantu. Terutama di kondisi Pandemi. Tapi tolong diEvaluasi Ketersediaan Obat di Apotik rekanan HALODOC di Kota MANADO. Untuk resep obat batuk biasa saja Apotik suka habis. Jadi sia2 konsultasi dgn dokter ujung2nya obat yg diresepkan ga ada di Apotik. Jadi rugi dong saya harus chat kembali dobel biaya. Ini Masukan agar HALODOC lebih baik lagi. Sudah pakai fitur chat with us tapi jawaban CS HALODOC sbb: CS Tidak bisa merubah produk obat & menyarankan konsultasi lagi dgn dokter😞,Negatif
"Baru pertama konsultasi dokter lewat halo doc ini,bagus sih..cuma durasinya terlalu cepat padahal pengen lg tanya2 ke dokternya..tp sdb diakhir ama dokternya chatingannya,tp ok lah bantu bgt,thanks ya",Negatif
"astaga obatnya semakin lama beli obat di halo doc harganya sudah gak masuk akal dua kali lipat. replay chat bantuan nya lama, sudah 15 kali coba pembayaran resep dengan cc dua bank berbeda obatnya gagal dan tidak ada solusi penyelesain... semakin berulang kali gagal harga obat semakin gak masuk akal. semoga halo doc dapat lebih baik dong di banding pesaing nya.",Negatif
Terimakasih Halodoc atas pelayanannya sangat baik dan cepat sekali atas Pengirimannya. Tks🙏 Hanya nambahkan bahwa HALODOC memang pelayanan dan pengiriman obatnya baik sekali dan tepat waktu. Tks Halodoc,Positif
"Ada yang nelpon ke no saya katanya dari halodoc,katanya saya mendapatkan hadiah dari halodoc..saya mau konfirmasi apakah benar aplikasi halodoc mengadakan hadiah kalau tidak kenapa dia bisa tau email dan no hp saya ?",Positif
"Sumpah ini alternatif banget bagi kalian yg lagi miris keuangannya. Menurut aku kalo kalian tau sedikit ttg sakit yg dirasa, kalian bisa hemat banget pake apk ini. Good job halodoc, cocok buat saya yang anak kosan😊",Positif
"Konfirmasi dengan CS sangat tidak berguna, karena tidak selesai dengan masalah yang dikomunikasikan. Bahkan selalu diulang yang dimana sudah dikasih bukti screenshotnya.... Ampun.. Ampun.. Kalau belum siap ya jangan di munculin di aplikasi nya",Negatif
"Sangat membantu disaat darurat, gak bisa keluar rumah dengan banyak anak. Tetiba anak sakit dan obat habis, jadilah pesan dihalodoc. Harga obat sama, dan enaknya dicarikan yang termurah. Terimakasih",Positif
"Tadinya suka2 aja sama apk ini, berbeda sama apk sebelah. Penjelasan dan rekomendasi obat dari dokter selalu tepat. Tapi kesel bgt, ini tadi saya mau konsultasi tapi dokter melewatkannya. Sampai ganti dokterpun tetap seperti itu, dan saldo yg berkurang dikembalikan dalam waktu hampir seminggu. Mohon diperhatikan, apabila dokter sedang sibuk dengan aktifitasnya untuk tidak menyalakan konsultasi. Karna mungkin ada beberapa pengguna yg seperti saya, hanya menggunakan apl dalam keadaan darurat saja",Negatif
"Sangat membantu bisa konsul via wa , apa lagi saat pandemi ini , dan dr yg saya chat semua nya memberikan respon yg sangat + prihal yg saya tanyakan , sangat membantu , terima kasih halodoc ,",Positif
"Udah 2 kali di telepon mengatas nama kan halodoc, aneh nya penelpon bisa tau email kita selalu bilang kita dapat uang 2 juta rupiah, apa aplikasi halodoc tidak memprivasi email sehingga ada saja pihak yg ingin mengambil keuntungan dgn menipu,tolong privasi lbh d perketat",Negatif
Keren .. cepat..bagus..sangat membantu....hanya dari rumah kita bisa cek kesehatan ...Aman dimasa PANDEMIK COVID 19....,Positif
Sangat membantu di jam 23:53. Anak sakit dan harus segera konsultasi ke dokter. Terima kasih Halodoc & dr. Adi Suryadinata Sp. A. Sangat membantu sekali,Positif
"sangat membantu, mempermudah mencari obat""an ... respon sangat cepat pesan gk sampe 30mnt sudah sampai .. terimakasih",Positif
"Tidak usah lagi, saya sudah pulang, sudah saya hapus juga aplikasi halodoc nya, saya sangat kecewa, tidak profesional dibagian chat customer nya.. Terima Kasih..",Negatif
"Saya mau konsul pembayaran pake CC 3x gagal, walopun keterangannya dana akan dikembalikan tp saya jd gak bisa konsul. Mau coba lagi males.. tolong sistem pembayaran diperbaiki!",Negatif
"Ngebantu banget,,disaat saya tidak bs pergi k rumah sakit karena antrian panjang dan waktu yg mepet,, aplikasi ini sangattttttt ngebantu bangettttt,,,praktis dan tidak takut karena lgsg konsul sama dokternya dan dikasii resep pula,,makasiii",Positif
Ralat : kembalikan yang seperti dulu.. sekarang bayar semua !!!! Aplikasi yang gak membantu lagiiiii !!,Negatif
"Jujur sy puas dengan nasihat2 dan penjelasan dokternya,nmun sgt disayangkan sekali konsul dr apk nya 30 menit saja dan otomatis berhenti, padahal saya msh ingin bertanya lgi.",Negatif
Membantu sekali ketika obat yg dicari dibeberapa apotek sedang kosong di app ini lengkap. Pemakaian app juga gampang.tks,Positif
"Aplikasi ini sangat membantu saya dlm masalah kesehatan & produk kesehatan, saya selalu menggunakan aplikasi ini untuk konsultasi penyakit, beli obat2an serta produk kesehatan lainnya. Walau banyak aplikasi lain yg serupa tp sy lebih memilih Halodoc ini krn bs lgsg konek ke akun Gojek sy. Terimakasih atas pelayanan nya, sukses terus Halodoc 👍👍👍",Positif
Tolong ya ditindaklanjuti ... Di respon email dan chat sy mengenai sy transaksi sdh 2 kali by gopay tp tidak ada kurir yg mengantar. Sangat kecewa. Sy minta refund,Negatif
"Aplikasinya udah bagus menurut saya, cuman saran aja, adain opsi pembayaran lewat gerai kaya alfamart/indomart dong, itu bakalan ngebantu bgt buat remaja atau orang2 yang gapunya gopay/cc/debit/etc",Positif
"Oke banget apk nya sejauh ini. Belum ketemu kurangnya dimana 👍. Respon dokternya juga cepet. Apik lah semuanya. Pertahankan, sangat membantu 👍",Positif
Ini aplikasi no ribet. Sangat membantu kita tdk perlu keliling apotik. Apalagi utk obat2 yang jarang tersedia diapotik. Untuk konsultasi dengan dokter juga sangat mudah dan pelayanannya sangat2 ramah.,Positif
"Sangat membantu saya aplikas ini,saya ga perlu khawatir lagi kalo mendadak tengah malam butuh obat karna ada halodoc yg siap membantu",Positif
"Sangan membantu sekali di saat isoman, jd tidak perlu keluar untuk membeli obat, sehingga mencegah penularan virus ke orang lain 🙏🙏🙏",Positif
"Halo kakak,kakak kenapa saya tidak bisa daftar ya?sama sudah masukan email dan nomor telepon tetap gak bisa masuk,padahal nunggu lama bangettt,kenapa yaa",Negatif
"Sangat, sangat membantu utk org sprti sy yg mls kluar rmh, aplgi nunggu antri di dokter..👍👍👍 pelayanax cepat, resep akurat",Positif
"Baru pertama kali coba. Membantu banget, apalagi di saat pandemi covid seperti sekarang, jadi tidak perlu keluar rumah untuk diagnosa dan beli obat.",Positif
Halodoc memudahkan banget. Ga perlu antri di rumah sakit. Bs konsultasi lewat aplikasi dan obat nya diantar ke rumah. So helpful,Positif
"Alhamdulillah halodoc sangat membantu saya, apalagi saat pandemic seperti ini 🙏🏻 dokter spesialisnya juga juara2, semoga bisa di pertahankan dan lebih bagus lagi halodoc 🙏🏻",Positif
Min Saya suntik vaksin dosis pertama tgl 9 .nah sekarang tgl 11 teman saya sudah pada dapat sms untuk suntik vaksin dosis ke 2 . Tetapi kok saya belum min? Mohon pencerahannya,Positif
Bisa konsultasi untuk sekedar pertanyaan2 kecil untuk antisipasi dari rumah sangat membantu... Terima kasih sudh menyediakam apliksi ini..,Positif
terbantu bgt SM aplikasi ini..kemarin cari resep dr dokter muter2 apotik terdekat GK ktmu..inget aplikasi ini..jd terbantu..bgt ..gk perlu cape2 muter2 ..,Positif
"umur saya 16 tahun saya gak punya uang terus saya mau konsultasi dengan dokter, ternyata konsultasi nya di bayar gimana solosi untuk pertanyaan saya it .. tolong di jawab!!!!!",Positif
"Aplikasinya cukup bagus. Saya chat dengan psikiatris karena lebih mudah kalau secara online, dan dokternya begitu ramah, tidak menghakimi, dan sangat mengerti keadaan saya. Terima kasih halodoc.",Positif
Terimakasih...bermanfaat sekali aplikasi ini untuk konsultasi dengan dokter jadi lebih mudah,Positif
Alhamdulillah vaksin I tidak ada masalah dan kendala serta efek samping hanya timbul rasa ngantuk selama 2 hari setelah divaksin,Positif
Kecepatan pengiriman kilat sekali... harga obat obatan sedikit berbeda jika dr apotik langsung. Over all i proud halodoc,Positif
"aplikasinya jelek banget, pertama kali psn di apotek obatny ga ada jdi di suruh cancel, cancelnya lgi bermslh hrus tlpn ke cs dulu bru bisa di batalin, tgg hmpr 1 jam cuma buat batalinnya, pas udh btl saldo di halo doc nya ga balik, hrs tgg 3-5 hari kerja",Negatif
Bagus untuk konsultasi ke dokter dan tidak perlu ke rumah sakit dan khawatir kena covid juga murah harganya untuk berkonsultasi,Positif
"Pelayanan cepat,tapi aneh tiba tiba pembayaran tidak bisa memakai kartu kredit. Padahal semua kartu yg tersedia, available utk digunakan",Negatif
Ga tau knp aplikasi ini sering banget ngelag. Padahal udah coba uninstall banyak app di hp tetep sama. Bahkan aplikasi yg berat pun di hp aku masih jalan tapi halodoc ga😂,Negatif
Dokternya hebat2...Jelas dan fokus kepada keluhan yang saya derita. Terima kasih Halodoc,Positif
Sy br pertama kali ini menggunakan halodoc... tapi ini menurut saya sangat efektif .... dan murah .... 😅😅😅🙏🙏🙏,Positif
Good app. Sangat membantu bagi yg tidak punya banyak waktu luang. Dokter dokternya bagus semua. Layanan kesehatan juga sangat beragam.,Positif
"Belum ada respon utk keluhan saya di team CS, saat sudah ada respon saya lanjut 🌟 5 -update, respon team CS nya cepat",Positif
"Sangat membantu sekali, bisa konsultasi dgn dokter nya lgsg, tanpa perlu repot ke rumah sakit atau ke faskes. Terima kasih Halodoc",Positif
Apakah betul yang menelpon ada dari agen hellodoc kerna dia meminta nomor. Rekening.,Positif
Saya beri bintang 1. Kalau kode voucher vaksinasi kedua diberikan akan saya kasih bintang 5. Ini sudah seminggu.,Negatif
Bagus..dokternya responsif lumayan enak diajak diskusinya logis dan analisis..saat masih deg2an ke dokter diRS akhirnya ketemu ini...seneng bangettt,Positif
"Jadi lebih enak ga perlu antri disaat sakit,,chat lgsung dibls,,obat jg diantar,,terima kasih holodoc🙏",Positif
"Puas sekali konsul disini,apalagi di saat pandemi seperti sekarang,Dokter nya juga ramah,",Positif
"Memuaskan, di bales dengan cepat dan banyak pilihan dokternya, meresepkan obat juga tidak yg mahal. Semoga saya cocok",Positif
"Selamat sore min, apakah aplikasi Halodoc sudah tidak bekerjasama lagi dengan MEDICILLIN.. mohon dijawab min.. terima kasih",Positif
"Sangat membantu pada saat urgent, jadi langsung tau apa tindakan selanjutnya Dokternya ramah Trimakasih halodoc",Positif
Pertama konsul dgn Dr. Putri Farissa Sp. PD. Konsul sampai selesai dan dapat resep obat. Terima kasih,Positif
"Suka banget dg menu konsultasi dokternya, memudahkan kita untuk bisa mencari info tg kesehatan tubuh.",Positif
"Aplikasi ini sangat membantu🙏dokternya ramah"" dan profesional. Sukses selalu Halodoc!!",Positif
"Sangat membantu ketika posisi sedang diluar kota kondisi badan kurang fit,susah cari dokter,butuh obat yg sesuai dosis,jd terbantu sekali dengan aplikasi ini. Super Thanks To Halodoc 😀",Positif
Sangat membatu.saya merasa terbantu saat tidak bisa datang ke dokter bisa konsul disini,Positif
"Baru pertama kali coba gomed, ternyata cukup cepat respon dan pengiriman, luar biasa tingkatkan terus",Positif
"Alhamdulillah. Setelah saya konsultasi dengan psikologi di Halodoc, saya merasa sedikit lebih baik",Positif
"Dokternya bagus, Penjelasannya detail. Saran2nya pas. obat yang diresepkan juga oke.",Positif
"Pelayanannya baik, konsultasi ya enak...., Puas banget, trims dokter iman, trims halodoc",Positif
membantu sekali aplikasi ini disaat kita sendirian lelah keluar rumah bisa dibantu hanya dengan aplikasi aja wowww,Positif
"Tanggapan nya Lambat . Saya sudah mengetik keluhan tp di sokternya chat saya tidak masuk, saya pakai panggilan suara tidak ada suaranya perbaiki dong. Kan pemakaian nya berbayar bukan gratis",Negatif
Canggih bisa berobat kapan saja dan dimana saya berada keren banget dlu pas cobain ini masih free skrng kudu bayar ehehe,Positif
"Awalnya ada kendala ketika booking untuk tes swab antigen, karena ternyata kliniknya tutup operasial mulai dengan hari dimana saya booking tes swab antigen. Namun tim halodoc cukup cepat responnya, termasuk menelpon saya untuk konfirmasi dan kemudian melakukan refund pada hari yang sama. Masukannya agar kordinasi dengan klinik atau rs rekanan lebih ditingkatkan, sisanya sudah bagusss. Terima kasih.",Positif
"Baru pertama kali pake, langsung merasakan puasnya.. Semoga layanannya bisa konsisten & prima selalu sehingga dpt menambah kepercayaannya.. tks ya Halodoc",Positif
Pelayanan ok hanya masalah pembayaran menggunanakan debit card menjadi kendala walopun ada opsi pembayaran lain,Positif
"Aku dengar sih apk nya bagus, trus aku instal eh tiba saat masuk apknya malah nggak ngerespon gimana sih",Negatif
"Lumayan lengkap, dan pelayanan cepat, aplikasinya sangat mudah dan sangat membantu sekali",Positif
Trima kasih Dr Silfia Mandasari Sp. DV untuk respon nya yg cepat dan arahan serta resep yg di berikan 🙏🙂,Positif
"Good sangat baik respon nya, dan cepat, dan akurat...sukses buat halodoc",Positif
"Sangat memberikan kemudahan, hanya di rumah saja...sakit bisa ter obati.",Positif
Pelayanan dokternya ramah .baik dan cepat balasnya.ini br pertama kali uda sangat terkesan,Positif
Sangat terbantu ...... apalagi sikon nya masih seperti sekarang. Sukses untuk Halodoc 🤗,Positif
"Pesan obat udah dibayar tiba2 dibatalkan sepihak, mana uda bayar, obatnya ratusan ribu lagi",Negatif
Bagaimana cara refund uangnya . Saya tlp customer servicenya tidak pernah bisa ...,Negatif
pertama kali konsul dg dr umum baik & bagus.kedua kali konsul dg Drh servicenya PARAH.blsin chat luama bangettttt smpai wktu 30 menit habis cm menyarankan ke klinik Drh scara langsung & malah curhat tentang kucing nya dia bla..blaa..bla..!! sy konsul ke Drh utk mencari solusi tentang kucing sy bkn utk dpt jwbn ANDA yg mencla mencle!!! bahasanya jg gk SOPAN!!! gk manggil bpk/saudara atau apa lah!!!!!! tlg di seleksi dl klo mau rekrut dokter!!!! BAD SERVICE DAN KUAPOKKK DEH!!!!!!!,Negatif
apakah CS halodoc hari ini mengalami kendala sehingga sy tidak be menelpon/chat ke tim help halodoc?,Positif
"Saat selesai melakukan pembayaran dan sukses terpotong saldo saya, eh dokternya malah sibuk. Pengembalian dana katanya butuh waktu hingga 14 hari, sudah terhitung 14 hari kok belum masuk,, ternyata harus konfirmasi ke pihak bank terkait. Duh kirain otomatis dana dikembalikan dan masuk ke rekening, ternyata harus konfirmasi ke bank dulu. Ribet. Tolong permudah dong klo refund. Soalnya tidak semua orang dekat rumahnya dengan bank🙏",Negatif
"Simple aplikasi untuk semua kebutuhan medis, pesannya mudah sampainya cepat ..",Positif
"Memgecewakan.. 3x daftar vaksin C19 untuk lansia ditolak, dengan alasan mesti pakai KTP setempat (padahal sudah ada suket domisili setempat). Sebenarnya sebagian besar vaksinasi C19 itu bisa menggunakan suket domisili, namanya juga vaksin gratis ya semua bisa asal masih warga negara Indonesia. Semoga ulasan ini tidak dihapus lg sama admin halodoc.",Negatif
Terima kasih sudah bekerja sama dengan gojek ...vaksinasi di prambanan sgt bagus sekali pelayanannya...le nyuntik blas ra loro,Positif
Halodoc profesional bgt. Gak ada yg sebaik Halodoc. Saya sangat sangat terbantu.,Positif
Alhamdulillah seperti konsultasi dengan dokter secara tatap muka,Positif
"Baru pertama kali konsultasi dan puas sama jawaban dokter nya, sangat membantu 🙏",Positif
Halodoc sangat bermanfaat buat saya. Terutama Fast respon. Jempolan utk Halodoc.,Positif
"#temanhidupsehat# sangat membantu dalam konsultasi dan informasi terkait kesehatan,",Positif
Dokter anaknya fast respon aplikasinya sangat membantu saat kondisi seperti sekarang,Positif
"Apliaksi yang sangat membantu saat darurat, tengkyu halodoc ditunggu promo menarik nya",Positif
"Alhamdulillah, sangat memudahkan untuk konsultasi dengan dokter spesialis nya",Positif
"Aplikasi ini membuat dokter spt keluarga, sahabat yg dekat, bisa dijangkau, tidak lagi berjarak. Harus bgt punya aplikasi ini,krn sakit dtg spt pencuri tiba². Jgn panik, pastikan saldo gopay cukup (yg simple buat saya), hub dokter, infokan scr benar keluhannya agar bisa dibantu utk obati. Lalu tunggu obat segera dikirim instant by Gojek. Sungguh terobosan yg sgt bermanfaat trutama di era pandemi, ketika semua hal mjd sangat berjarak Halodoc mendekatkn kita dgn dokter. Sukses utk halodoc 👍❤️",Positif
Gimana sih ini. Masa dokter nya yg ngelewatin chat gtu aja ga di terima sama sekali ajuan dari aku tapi saldo nya ttp diambil. Gimana ini uang udh diambil tapi konsultasi ngga sama sekali tolong dong ada customer servicenya ga sih. Pengen komplain amat! Rugi tau ga jelas mengecewakan banget nih halodoc sekarang!!! 🤬🤬🤬🤬,Negatif
"Kemaren tepatnya hari kamis tgl 04-maret-2021 jam 12.53 wita sy mendapat telp yang mengatasnamakan sebagai Call Center Halo dokter(halodoc), dia menginfokan beberapa Fitur yang ada di Halodoc, dan menyuruh sy buat aktivasi biaya paket bulanan sebesar Rp.39.000 dengan auto debet dari bank sy. dan akan di infokan ke email aktif sy jika sudah terdaftar,karna sy merasa percaya dengan Halodoc saya menyetujuinya, tp sampai kini sy tak mendapat informasi apa dr gmail/email, Tp dana sy sudah terpotong.",Negatif
"Sangat membant untuk konsultasi dari rumah saja, apalagi sedang kondisi covid begini",Positif
"Parah vaksin lansia dosis ke 2 disini, parah banget udah nunggu 2 jam hanya untuk antre. Herannya vaksin pertama lancar2 aja. Habis waktu gak jelas buruk sekali. Kasian orgtua2 nya drpd vaksin disini mending ke aplikasi sebelah aja",Positif
"Dokternya disini luamayan-sangat berpengalaman, fitur""nya juga membantu banget",Positif
Thankyou banget halodoc🤗membantu banget buat aku yg selalu panik kalo ada keluhan apa2😊🙏,Positif
"Pertama kali instal untuk bisa daftarin vaksin lansia, di tanggalnya bertuliskan slot tersedia. Sudah isi data dan upload KTP juga. Giliran di submit udah penuh tulisnya. Auto recheck dong, eh ternyata ttep masih tersedia slotnya, resubmit malah penuh. Ga jelas beud. Segera perbaiki.",Negatif
"Sangat membantu, terutama dalam pembelian obat di luar kota",Positif
Sangat membantu dan memudahkan bagi pasien / keluarga untuk pelayanan kesehatan,Positif
"Konsultasi memuaskan, juga sangat recomended buat saat seperti ini yg tdk mau keluar rumah krn mengurangi mobilitas.. Semoga dokter dokter yg ada di halodoc bisa tetap sehat, supaya bisa tetap membantu juga melayani banyak nya keluhan pasien yg membutuhkan. (sangat recomended)",Positif
Saya kasih bintang 5 semoga aplikasi ini bisa memberikan pelayanan yang lebih baik.,Positif
"Sangat membantu sekali, dokternya enak, cepat responnnya..",Positif
"Puas dengan pelayanan dilapangan terkait vaksin 1 dan 2 yg saya terima lancar dan cepat. Petugasnya ramah2, sabar dan penuh perhatian. Terimakasih Halodoc, salam sehat untuk kita semua 🙏🙏🙏🙏",Positif
Tolong dong kasih tau gmn cara bisa chat docter ny ..soal ny pembayaran ny GK bisa2,Negatif
Bekerja sambil konsultasi dg dokter..sangat menghemat waktu..tks halodoc..,Positif
"Terbaik, dalam situasi apapun dan jam berapapun bisa selalu konsultasi",Positif
Menyenangkan bisa langsung konsultasi dengan dokter tanpa harus keluar rumah,Positif
"Saya buat janji sesuai jadwal yg tersedia di Lab Prodia Mega Galaxy Sby : pd 11 maret jam 9 pagi. Pd hari H ternyata Prodia tutup. Herannya : kenapa jadwal tsb tersedia di aplikasi halodoc ? Ada bbrp org juga kecele. Sdh Chat ke Bantuan halodoc tapi slow respon, 7 jam belum ada solusi. Ada sms halodoc utk membatalkan/mereschedul, saya coba tapi aplikasi tdk bisa. jawaban aplikasi : pembatalan hny berlaku hingga 12 jam sblm jdwl konsul. Reshedule 1 jam sblm jdwl konsul. Ampun ampun deh.",Negatif
Smoga dengan adanya halodoc bs memBantu pasien untuk konsultasi dr rumah terima kasih,Positif
Pesen obat di halodoc pelayanan fast respon dan langsung dikirim pas banget lagi urgent,Positif
"Suka banget dengan aplikasi ini, sangat membantu. Pelayanannya juga bagus. 1 kali pernah ada case kurang kirim barang, utk kekurangannya langsung di kirim keesokan harinya. Sukses terus halodoc, makin ditingkatkan lagi pelayanannya.",Positif
"Menolong banget untuk.pertolongan pertama pada kucing sy, Drh nya sangat membantu 👍👍👍",Positif
"Dokter ramah, baik dan melayani dengan bijaksna terima kasih halodoc",Positif
Terima kasih sdh memberikan vaksin covid ke 2 dgn tdk memberi efek yg segnifikan,Positif
Alhamdulillah.. Membantu urusan kesehatan 24 jam..,Positif
Enak dipakai nya aplikasinya. Buat cari obat dg harga terjangkau jg BS,Positif
"Keren banget fast respon ,sy konsul ke dokter kandungan",Positif
"Kl aja bisa sy kasih lebih dr 5 bintang 🤩 pasti sy kasih 10.. Ini Aplikasi terbaik pembelian kebutuhan medis disaat darurat pada waktu yg tidak memungkinkan kita utk keluar rumah.... Sangat bagus sekali, masukannya hanya semoga semakin banyak apotek yg bekerja sama dgn aplikasi ini, jd jarak pickup obatnya gak selalu jauh 😁👍",Positif
"Puas konsultasi dengan dokter di Halodoc, cuma kalau saya pas di Papua seperti sekarang ini masih susah kalau Nebus obat hanya dengan nunjukin chat, bahkan dulu hampir tidak mau ngasih obatnya, untung akhirnya mau ngasih juga meski harus tanda tangan segala",Negatif
"Niat install aplikasi ini karna pgnnya mempermudah beli obat, karna kondisi saya lagi sakit dan di kos sendirian. Tpi saya beli hari ini estimasi nyampenya 5 hari lagi.. Aplikasi ini tidak cocok digunakan untuk kondisi urgent.. Ini kalau yg beli obat lewat sini orang yg sakit parah keburu wasalamm obatnya baru nyampe.. Saya akan mengedit ulasan ini jika aplikasi halodoc sudah diperbaiki lagi sistemnya",Negatif
"Selamat Siang. Salam. Hari ini saya dapat telefon yang mengatas namakan Halodoc. Dia menyampaikan mengenai biaya claim dan pengaktifan biaya bulanan, tapi dia meminta untuk menyebut No. Rek. Untuk sistem pemotongan 39 Ribu. Mohon di konfirmasi apakah ini benar dari Halodoc, takutnya saldo akan tepotong tiap bulannya. Terima kasih.",Positif
Sangat membantu di saat pandemi seperti skrg ini.. Thanks halodoc,Positif
"Baru sekali konsultasi, kebetulan dokternya nyaman saat saya menyampaikan keluhan, meminta foto untuk melihat langsung area sakitnya, dan pertanyaan dari dokter sangat detail. semoga resepnya cocok, mengatasi keluhan saya. Terimakasih dok.",Positif
"Praktis dan oke dokternya dalam menjawab keluhan kita, terimakasih halodoc",Positif
"Terimakasih halodoc, aplikasi terpercaya utk chat langsung dengan dokter👍",Positif
"Cb di kaji lagi vaksin untuk mitra ojol krn sejatinya masih bnyk mitra yg pk 2 atau 3 app ojol buat nyari rejeki ada gojek grab indriver maxim,ntr klo dr semua app wajib vaksin mitrannya kita yg repot.bila perlu batalin krj sama vaksin biar mitra di vaksin lewat aparatur pemerintah.",Negatif
"Halo dokter, saya ibu dari anak bayi berusia 1,2bln, anak saya sekarang lagi di rawat di rumah sakit, hasil rongsen nya dia mengidap penyakit radang paru2, tolong dokter gimana agar anak saya sembuh total dari penyakit tersebut, trimaksih sebelumnya🙏🙏🙏",Positif
"Respon yg sangat baik dari dokternya,,terima kasih banyak halodoc",Positif
Aplikasi ini sangat berguna sekali bagi semua. Terima kasih sudah mengadakan kegiatan vaksin serentak hari ini di prambanan sleman.terima kasih juga kepada pemerintahan diy yogyakarta dan para sponsor.kegiatan semoga para pembuatan kegiatan ini mendapat kan pahala yg berlimpah dari Tuhan Yang Maha Esa. Terima kasih sekali lagi.best regard benny,Positif
Posisi pengambilan obat selalu jauh dari rumah dan harus menunggu lama,Negatif
"Saya sudah buat janji, sudah buka aps tepat waktu. Dan pas jam nya tiba dokternya ngak bales2 dan apsnya tbtb cancel. Padahal tulisannya di aplikasi, dia sedang online. Sangat mengecewakan. Saya mendownload aps ini karena memang sedang butuh, kalau seperti ini mah malah menjadi ngak berguna aps nya. Mau saya donasikan ke menu Donasi, malah tidak ada pilihan pembayaran dengan Saldo Halodoc. Walau jumlahnya kecil, tapi ini menunjukan bahwa pelayanannya tidak sebanding dengan aplikasi sebelah",Negatif
"Halo doc, klg sy periksa PCR hasilnya H 1. Periksa dari tgl 2 maret jam 10.30. Yg di drive thru kemayoran.Tapi sampai hari ini tgl 3 maret jam 12.08 blm ada hslnya. Waduh gmn sih.sedangkan sy butuh hslnya cepat. Kok tambah lama pelayanan pemeriksaan covid dihalo doc menurun ya. Sy periksa bukan yg gratis loh",Negatif
Pengalaman pertama asyik banget bisa konsultasi dengan dokter pilihan,Positif
"Mohon maaf sy kasih bintang 1 . Jelek banget pelayanannya. Pesen vitamin dari tanggal 12 estimasi sampai tanggal 16 tapi sampai skrng blm sampai juga. Masih proses terus . Minta tolong CS di telp ga bisa , di chat jawabannya Sm nanti di cek nanti di cek . Entah sampai kapan di cek nya . Mau pembatalan pesanan buat beli ke e-commerce lain tp saldo ga bisa di tarik ke rekening. Tolong dong tingkatkan lagi pelayanannya . Tolong segera di kirim pesanan saya .",Negatif
Selalu Sangat membantu.. terima ksh utk para dokter ny n aplikasi ny 🙏🙏,Positif
